code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
000839,中信国安,-0.1471,-0.0236,,-0.0405,-5.9296
603789,星光农机,-0.1477,-0.0477,-7.0215,-0.1608,-17.0625
601519,大智慧,-0.1479,-0.0321,,-0.1063,-19.9311
002638,勤上股份,-0.1482,-0.0213,-2.0088,-0.1034,-11.1673
000939,*ST凯迪,-0.1491,-0.0073,,-0.0096,-1.3064
000826,启迪桑德,-0.1499,-0.032,-1.4371,-0.0526,-7.4507
300466,赛摩电气,-0.1503,-0.0259,-1.9303,-0.1164,-12.9069
002111,威海广泰,-0.1505,-0.0474,-1.3008,-0.1116,-12.0355
600970,中材国际,-0.1507,-0.0688,-2.1073,-0.0955,-11.7219
002204,大连重工,-0.1512,-0.0302,,-0.0501,-5.2312
300098,高新兴,-0.1513,-0.0478,-0.9905,-0.1537,-16.6236
002327,富安娜,-0.1514,-0.0619,-0.9179999999999999,-0.2633,-26.8185
300698,万马科技,-0.1529,-0.0521,-5.3242,-0.1305,-13.124
002090,金智科技,-0.153,-0.0448,-2.2769999999999997,-0.0677,-7.8201
300732,设研院,-0.1541,-0.038,-0.5591,-0.1085,-13.2097
002767,先锋电子,-0.1542,-0.04,-1.6332,-0.2844,-29.2686
600636,三爱富,-0.1542,-0.0604,-0.382,-0.7099,-75.5267
000090,天健集团,-0.1547,-0.0243,-4.1904,-0.0309,-4.7418
300504,天邑股份,-0.1549,-0.1223,-2.5188,-0.3425,-34.3513
002356,赫美集团,-0.1559,-0.0406,,-0.0582,-6.9908
601798,*ST蓝科,-0.1566,-0.018000000000000002,,-0.0383,-4.5698
600814,杭州解百,-0.1568,-0.1285,-2.63,-0.3617,-36.7283
002113,天润数娱,-0.1569,-0.022000000000000002,-1.4311,-0.1699,-17.0675
603861,白云电器,-0.157,-0.0553,-2.3424,-0.1088,-12.630999999999998
300528,幸福蓝海,-0.1571,-0.0664,-1.9333,-0.1867,-18.8285
300217,东方电热,-0.1572,-0.0795,-1.9042,-0.2055,-23.4522
300490,华自科技,-0.1574,-0.0376,-2.7344,-0.0799,-8.1062
600889,南京化纤,-0.1585,-0.0561,,-0.1845,-25.7287
300142,沃森生物,-0.1589,-0.0131,-0.838,-0.0473,-7.8398
300133,华策影视,-0.1596,-0.0436,-1.4559,-0.0972,-9.7225
000738,航发控制,-0.1598,-0.0405,-1.2799,-0.1731,-20.7636
601579,会稽山,-0.1604,-0.0314,-1.2299,-0.1419,-17.7909
000565,渝三峡A,-0.1608,-0.0627,-2.1008,-0.218,-37.668
002015,霞客环保,-0.1613,-0.08900000000000001,-33.2773,-1.3393,-133.9305
002427,*ST尤夫,-0.1617,-0.062,-27.7756,-0.0813,-10.3946
002389,南洋科技,-0.1622,-0.0314,-2.5759,-0.1538,-16.8913
300407,凯发电气,-0.1626,-0.0718,-35.9821,-0.1329,-18.7359
002527,新时达,-0.1626,-0.0651,-5.7155,-0.1384,-18.3947
300710,万隆光电,-0.1627,-0.0615,-3.0312,-0.4497,-45.0512
002255,海陆重工,-0.1632,-0.0305,-1.5202,-0.0727,-7.6626
300444,双杰电气,-0.1637,-0.0539,-1.159,-0.0931,-11.0694
603339,四方科技,-0.1654,-0.0721,-0.9953,-0.3857,-39.9121
000663,永安林业,-0.1657,-0.0245,,-0.0521,-5.9282
002094,青岛金王,-0.1661,-0.1094,-3.5079,-0.2462,-38.4236
002178,延华智能,-0.1673,-0.0623,-8.595,-0.1613,-16.5625
300556,丝路视觉,-0.1674,-0.1034,-2.0866,-0.278,-34.2235
300598,诚迈科技,-0.1674,-0.1122,-6.6463,-0.5785,-88.0437
