code,xcode,name,ipo_date,issue_date,amount,markets,price,pe,limit,funds,ballot
300715,300715,凯伦股份,2017-10-12,2017-10-26,1800,1800,12.5,22.98,1.8,2.25,0.01
601108,780108,财通证券,2017-10-12,2017-10-24,35900,32310,11.38,22.98,10.7,0.0,0.13
603922,732922,金鸿顺,2017-10-11,2017-10-23,3200,2880,17.54,22.98,1.2,5.6129999999999995,0.03
002907,002907,华森制药,2017-10-11,2017-10-20,4006,3605,4.53,22.96,1.15,1.815,0.03
603466,732466,风语筑,2017-10-10,2017-10-20,3600,3240,16.56,22.98,1.4,5.962000000000001,0.03
603683,732683,晶华新材,2017-10-10,2017-10-20,3167,2850,9.34,22.99,1.1,2.958,0.03
002908,002908,德生科技,2017-10-10,2017-10-20,3334,3001,7.58,22.98,1.3,2.5269999999999997,0.02
603396,732396,金辰股份,2017-09-29,2017-10-18,1889,1889,19.47,22.99,1.8,3.678,0.01
300709,300709,精研科技,2017-09-29,2017-10-19,2200,1980,38.7,22.65,0.85,8.514,0.02
300710,300710,万隆光电,2017-09-29,2017-10-19,1750,1750,14.75,22.98,1.75,2.5810000000000004,0.01
300708,300708,聚灿光电,2017-09-28,2017-10-16,6433,5790,2.82,22.93,2.55,1.814,0.04
603829,732829,洛凯股份,2017-09-28,2017-10-17,4000,3600,7.23,22.99,1.6,2.892,0.03
002905,002905,金逸影视,2017-09-28,2017-10-16,4200,3780,20.98,20.63,1.65,8.812000000000001,0.03
002906,002906,华阳集团,2017-09-27,2017-10-13,7310,6579,13.69,22.98,2.15,10.007,0.04
603499,732499,翔港科技,2017-09-27,2017-10-16,2500,2250,9.24,22.97,1.0,2.31,0.02
603110,732110,东方材料,2017-09-26,2017-10-13,2567,2310,13.04,22.98,1.0,3.347,0.03
002903,002903,宇环数控,2017-09-26,2017-10-13,2500,2250,12.78,16.44,1.0,3.195,0.02
300707,300707,威唐工业,2017-09-22,2017-10-10,1965,1965,15.09,22.99,1.95,2.965,0.01
603103,732103,横店影视,2017-09-22,2017-10-12,5300,4770,15.45,22.98,1.5,8.187999999999999,0.04
300705,300705,九典制药,2017-09-21,2017-10-10,2934,2641,10.37,22.97,1.15,3.043,0.03
002902,002902,铭普光磁,2017-09-20,2017-09-29,3500,3150,14.13,22.9,1.4,4.946000000000001,0.02
601086,780086,国芳集团,2017-09-20,2017-09-29,16000,14400,3.16,22.92,4.8,5.056,0.07
603367,732367,辰欣药业,2017-09-19,2017-09-29,10000,9000,11.66,22.98,3.0,11.66,0.05
