date,deposit_type,rate
1996-05-01,零存整取、整存零取、存本取息定期存款(三年),--
1996-05-01,零存整取、整存零取、存本取息定期存款(五年),--
1996-05-01,零存整取、整存零取、存本取息定期存款(一年),--
1996-05-01,通知存款(七天),--
1996-05-01,通知存款(一天),--
1996-05-01,协定存款(定期),--
1993-07-11,定活两便(定期),--
1993-07-11,定期存款整存整取(半年),9.00
1993-07-11,定期存款整存整取(二年),11.70
1993-07-11,定期存款整存整取(三个月),6.66
1993-07-11,定期存款整存整取(三年),12.24
1993-07-11,定期存款整存整取(五年),13.86
1993-07-11,定期存款整存整取(一年),10.98
1993-07-11,活期存款(不定期),3.15
1993-07-11,零存整取、整存零取、存本取息定期存款(三年),--
1993-07-11,零存整取、整存零取、存本取息定期存款(五年),--
1993-07-11,零存整取、整存零取、存本取息定期存款(一年),--
1993-07-11,通知存款(七天),--
1993-07-11,通知存款(一天),--
1993-07-11,协定存款(定期),--
1993-05-15,定活两便(定期),--
1993-05-15,定期存款整存整取(半年),7.20
1993-05-15,定期存款整存整取(二年),9.90
1993-05-15,定期存款整存整取(三个月),4.86
1993-05-15,定期存款整存整取(三年),10.80
1993-05-15,定期存款整存整取(五年),12.06
1993-05-15,定期存款整存整取(一年),9.18
1993-05-15,活期存款(不定期),2.16
1993-05-15,零存整取、整存零取、存本取息定期存款(三年),--
1993-05-15,零存整取、整存零取、存本取息定期存款(五年),--
1993-05-15,零存整取、整存零取、存本取息定期存款(一年),--
1993-05-15,通知存款(七天),--
1993-05-15,通知存款(一天),--
1993-05-15,协定存款(定期),--
1991-04-21,定活两便(定期),--
1991-04-21,定期存款整存整取(半年),5.40
1991-04-21,定期存款整存整取(二年),7.92
1991-04-21,定期存款整存整取(三个月),3.24
1991-04-21,定期存款整存整取(三年),8.28
1991-04-21,定期存款整存整取(五年),9.00
1991-04-21,定期存款整存整取(一年),7.56
1991-04-21,活期存款(不定期),1.80
1991-04-21,零存整取、整存零取、存本取息定期存款(三年),--
1991-04-21,零存整取、整存零取、存本取息定期存款(五年),--
1991-04-21,零存整取、整存零取、存本取息定期存款(一年),--
1991-04-21,通知存款(七天),--
1991-04-21,通知存款(一天),--
1991-04-21,协定存款(定期),--
1990-08-21,定活两便(定期),--
1990-08-21,定期存款整存整取(半年),6.48
1990-08-21,定期存款整存整取(二年),9.36
1990-08-21,定期存款整存整取(三个月),4.32
1990-08-21,定期存款整存整取(三年),10.08
1990-08-21,定期存款整存整取(五年),11.52
1990-08-21,定期存款整存整取(一年),8.64
1990-08-21,活期存款(不定期),2.16
1990-08-21,零存整取、整存零取、存本取息定期存款(三年),--
1990-08-21,零存整取、整存零取、存本取息定期存款(五年),--
1990-08-21,零存整取、整存零取、存本取息定期存款(一年),--
1990-08-21,通知存款(七天),--
1990-08-21,通知存款(一天),--
1990-08-21,协定存款(定期),--
1990-04-15,定活两便(定期),--
1990-04-15,定期存款整存整取(半年),7.74
1990-04-15,定期存款整存整取(二年),11.00
1990-04-15,定期存款整存整取(三个月),6.30
1990-04-15,定期存款整存整取(三年),11.88
