code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
002698,博实股份,1.2793,211.0529,0.4759,567.3461,0.2772,974.0260000000001
002646,青青稞酒,47.908,5.6358,0.4746,568.9001,0.7352,367.24699999999996
002499,科林环保,0.2102,1284.491,0.4698,574.7126,0.096,2812.5
600133,东湖高新,2.2962,117.5856,0.4692,575.4476,0.3543,762.066
300069,金利华电,1.0292,262.3397,0.4691,575.5702,0.2877,938.4776
000766,通化金马,2.7114,99.5796,0.4686,576.1844,0.7571,356.624
000009,中国宝安,2.9433,91.7338,0.4639,582.0219999999999,0.3517,767.6997
002077,大港股份,1.1888,227.1198,0.4627,583.5314,0.2249,1200.5336
300090,盛运环保,0.4308,626.7409,0.4626,583.6576,0.087,3103.4483
300234,开尔新材,0.5152,524.0683,0.4619,584.5421,0.1789,1509.223
300382,斯莱克,,,0.4618,584.6687,0.345,782.6087
300397,天和防务,0.5846,461.8543,0.4615,585.0488,0.1713,1576.1821
600562,国睿科技,1.2521,215.6377,0.4571,590.6804,0.2746,983.2484
600738,兰州民百,509.6674,0.5298,0.4567,591.1977,0.3627,744.4169
600391,航发科技,1.8257,147.8885,0.4559,592.2351,0.3754,719.2328
603388,元成股份,9.0282,29.9063,0.4553,593.0156,0.4785,564.2633
002093,国脉科技,2.8599,94.4089,0.4539,594.8447,0.2692,1002.9718
603198,迎驾贡酒,36.1196,7.4752,0.4469,604.1619999999999,0.6158,438.454
000993,闽东电力,3.4469,78.3313,0.4462,605.1098,0.3098,871.53
300362,天翔环境,0.6068,444.9572,0.4449,606.878,0.095,2842.1053
603589,口子窖,261.6281,1.032,0.4428,609.7561,0.5949,453.8578
002304,洋河股份,2460.3937,0.1097,0.4409,612.3838,0.7203,374.8438
600684,珠江实业,53.7229,5.0258,0.4404,613.0790000000001,0.3051,884.9558
600693,东百集团,23.0179,11.73,0.4398,613.9154,0.4003,674.4941
600381,青海春天,1.8502,145.9302,0.4385,615.7355,0.1406,1920.3414
002059,云南旅游,3.1109,86.7916,0.43799999999999994,616.4384,0.371,727.7628
600059,古越龙山,9.5062,28.4025,0.4349,620.8324,0.4298,628.1992
600616,金枫酒业,5.9508,45.3721,0.4346,621.2609,0.4107,657.4142
603707,健友股份,5.0774,53.1768,0.4331,623.4126,0.5394,500.5562
002901,大博医疗,6.0864,44.3612,0.4261,633.6541,0.4687,576.0614
300345,红宇新材,0.6033,447.5385,0.4246,635.8926,0.174,1551.7241
601579,会稽山,,,0.4227,638.7509,0.4287,629.8111
300724,捷佳伟创,4.9689,54.338,0.4219,639.9621,0.3549,760.7777
603528,多伦科技,1.3078,206.4536,0.42,642.8571,0.24100000000000002,1120.3319999999999
000631,顺发恒业,38.2148,7.0653,0.4147,651.0731,0.1624,1662.5616
000423,东阿阿胶,9.0769,29.7458,0.4139,652.3315,0.4661,579.2748
000029,深深房A,10.9539,24.6488,0.4109,657.0942,0.4642,581.6458
600173,卧龙地产,6.2721,43.0478,0.4098,658.8580000000001,0.3856,700.2075
300551,古鳌科技,0.6559,411.6481,0.406,665.0246,0.1936,1394.6281
300334,津膜科技,1.3495,200.0741,0.40399999999999997,668.3168,0.2776,972.6225
603900,莱绅通灵,9.6126,28.0881,0.3999,675.1688,0.512,527.3438
600648,外高桥,11.2749,23.947,0.3975,679.2453,0.3609,748.1297
002214,大立科技,0.6919,390.2298,0.3928,687.3727,0.2668,1011.9939999999999
002474,榕基软件,3.5147,76.8202,0.3883,695.3387,0.2507,1076.9844
300557,理工光科,0.2433,1109.7411,0.3881,695.697,0.0938,2878.4648
300237,美晨生态,4.0062,67.3955,0.3872,697.314,0.4033,669.4768
002529,海源复材,0.9653,279.7058,0.3862,699.1196,0.2213,1220.0633
601992,金隅集团,6.7709,39.8765,0.3848,701.6632,0.3654,738.9163
002086,东方海洋,1.547,174.5314,0.3837,703.6747,0.2818,958.1263
002494,华斯股份,2.6344,102.4901,0.3821,706.6213,0.2519,1071.8539
000711,京蓝科技,2.6184,103.1164,0.3795,711.4625,0.2962,911.5463
603896,寿仙谷,9.7062,27.8173,0.3758,718.4673,0.7,385.7143
603567,珍宝岛,1.7276,156.2862,0.3756,718.8498,0.4146,651.2301
600730,中国高科,12.3134,21.9273,0.3755,719.0413,0.0274,9854.0146
002933,新兴装备,0.7599,355.3099,0.3748,720.3842,0.2273,1187.8575
002291,星期六,1.5495,174.2498,0.3748,720.3842,0.4589,588.3635
600692,亚通股份,6.3831,42.2992,0.3726,724.6377,0.3324,812.2744
300087,荃银高科,4.1689,64.7653,0.37200000000000005,725.8065,0.2168,1245.3875
600606,绿地控股,5.0833,53.1151,0.3719,726.0016,0.2875,939.1304
002509,天广中茂,1.1589,232.9795,0.3664,736.8996,0.3242,832.8192
600246,万通地产,59.4217,4.5438,0.3662,737.302,0.3204,842.6966
